round_id,match_id,kickoff_msk,home_team,away_team,total_line,odds_p1,odds_x,odds_p2,odds_tb,odds_tm,odds_1x,odds_x2
SMOKE-20260907,S0907-01,2026-09-07T19:00:00+03:00,Мексика,ЮАР,2.5,1.80,3.40,4.60,1.90,1.90,1.20,1.95
SMOKE-20260907,S0907-02,2026-09-08T01:00:00+03:00,Канада,Япония,2.5,2.10,3.20,3.60,1.85,1.95,1.30,1.70
SMOKE-20260907,S0907-03,2026-09-08T19:00:00+03:00,Испания,Египет,2.5,1.55,4.10,6.20,1.75,2.05,1.10,2.45
SMOKE-20260907,S0907-04,2026-09-09T01:00:00+03:00,Бразилия,Марокко,2.5,1.65,3.80,5.10,1.80,2.00,1.15,2.20
SMOKE-20260907,S0907-05,2026-09-09T19:00:00+03:00,Франция,Сенегал,2.5,1.70,3.60,4.80,1.88,1.92,1.18,2.05
SMOKE-20260907,S0907-06,2026-09-10T01:00:00+03:00,Аргентина,Нигерия,2.5,1.60,3.90,5.50,1.82,1.98,1.14,2.25
SMOKE-20260907,S0907-07,2026-09-10T19:00:00+03:00,Германия,Австралия,3.5,1.50,4.20,6.50,2.10,1.75,1.09,2.55
SMOKE-20260907,S0907-08,2026-09-11T01:00:00+03:00,Португалия,Уругвай,2.5,2.20,3.10,3.50,1.92,1.88,1.35,1.65
SMOKE-20260907,S0907-09,2026-09-11T19:00:00+03:00,Англия,Хорватия,2.5,1.75,3.50,4.50,1.86,1.94,1.20,1.98
SMOKE-20260907,S0907-10,2026-09-12T01:00:00+03:00,Нидерланды,США,2.5,1.95,3.30,4.00,1.90,1.90,1.25,1.80
SMOKE-20260907,S0907-11,2026-09-12T19:00:00+03:00,Бельгия,Колумбия,2.5,2.05,3.25,3.75,1.84,1.96,1.28,1.75
SMOKE-20260907,S0907-12,2026-09-13T01:00:00+03:00,Италия,Швейцария,2.5,1.85,3.35,4.20,1.89,1.91,1.22,1.88
